imagine1,imagine2,imagine3,imagine4,gender,correct,time,primer,congruent,keyCorrect,keyPressed,trial,pictureCategory 
4,4,4,5,female,1,1115,imagery,0,ArrowDown,ArrowDown,49,3 
4,4,4,5,female,1,1295,visual,0,ArrowLeft,ArrowLeft,50,10 
4,4,4,5,female,1,1045,ambient,1,ArrowRight,ArrowRight,51,4 
4,4,4,5,female,1,2005,imagery,0,ArrowDown,ArrowDown,52,6 
4,4,4,5,female,1,890,imagery,1,ArrowUp,ArrowUp,53,1 
4,4,4,5,female,1,1034,visual,1,ArrowUp,ArrowUp,54,12 
4,4,4,5,female,1,968,imagery,0, , ,55,5 
4,4,4,5,female,1,1577,ambient,0,ArrowDown,ArrowDown,56,18 
4,4,4,5,female,1,1122,imagery,1, , ,57,16 
4,4,4,5,female,1,1080,ambient,1,ArrowUp,ArrowUp,58,14 
4,4,4,5,female,1,1470,ambient,0, , ,59,6 
4,4,4,5,female,1,1058,ambient,0, , ,60,12 
3,4,4,3,male,1,1680,ambient,0, , ,1,5 
3,4,4,3,male,1,1282,ambient,0,ArrowLeft,ArrowLeft,2,15 
3,4,4,3,male,1,1499,imagery,0,ArrowRight,ArrowRight,3,12 
3,4,4,3,male,1,1431,visual,0,ArrowUp,ArrowUp,4,6 
3,4,4,3,male,1,1044,ambient,0,ArrowUp,ArrowUp,5,17 
3,4,4,3,male,1,1254,visual,1,ArrowRight,ArrowRight,6,5 
3,4,4,3,male,1,855,imagery,0,ArrowUp,ArrowUp,7,13 
3,4,4,3,male,1,850,visual,1,ArrowUp,ArrowUp,8,8 
3,4,4,3,male,1,894,ambient,0, , ,9,8 
3,4,4,3,male,1,820,ambient,1, , ,10,4 
3,4,4,3,male,1,806,imagery,0, , ,11,19 
3,4,4,3,male,1,900,imagery,1,ArrowRight,ArrowRight,12,10 
3,4,4,3,male,1,1210,ambient,0,ArrowDown,ArrowDown,13,3 
3,4,4,3,male,1,680,ambient,1, , ,14,19 
3,4,4,3,male,1,789,visual,0,ArrowUp,ArrowUp,15,7 
3,4,4,3,male,1,1131,imagery,1,ArrowLeft,ArrowLeft,16,5 
3,4,4,3,male,1,715,visual,1,ArrowRight,ArrowRight,17,4 
